Chr	Start	End	fill	species	size	Color
Chr01A	1	86803187	969696	A	12	252525
Chr02A	1	86165811	969696	A	12	252525
Chr03A	1	82575643	969696	A	12	252525
Chr04A	1	77496100	969696	A	12	252525
Chr05A	1	77695395	969696	A	12	252525
Chr06A	1	74663766	969696	A	12	252525
Chr07A	1	72893522	969696	A	12	252525
Chr08A	1	73186628	969696	A	12	252525
Chr09A	1	70363782	969696	A	12	252525
Chr01B	1	66056523	969696	B	12	252525
Chr02B	1	67360422	969696	B	12	252525
Chr03B	1	62961061	969696	B	12	252525
Chr04B	1	59045003	969696	B	12	252525
Chr05B	1	62158187	969696	B	12	252525
Chr06B	1	54248817	969696	B	12	252525
Chr07B	1	63996572	969696	B	12	252525
Chr08B	1	62617531	969696	B	12	252525
Chr09B	1	58970139	969696	B	12	252525
